"district_type";"district";"party";"rank_list";"name";"birth_year";"beruf";"pref_votes_abs"
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";22;"Hornböck, Mag. Martina";1975;"Beamtin";16
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";23;"Unterrieder, Andreas";1974;"Angestellter";62
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";24;"Riepl, Mag.  phil.Nicole";1977;"Einzelhandeslkauffrau/Landwirtin";38
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";25;"Furian, Hartwig";1991;"Angestellter";30
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";26;"Koncilia, Sabine";1968;"Bank-Angestellte";12
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";1;"Angerer, Erwin";1964;"Techniker";661
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";2;"Ragger, Mag. Christian";1973;"Anwalt";633
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";3;"Linder, Maximilian";1965;"Gast- und Landwirt";356
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";4;"Wassermann, Sandra";1984;"Unternehmerin";340
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";5;"Mölzer, Wendelin";1980;"Journalist";143
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";6;"Ofner, Josef";1979;"Bürgermeister";65
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";7;"Darmann, Mag. Gernot";1975;"Jurist";493
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";8;"Leyroutz, Mag. Christian";1970;"Rechtsanwalt";48
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";9;"Reiner, DI Michael";1985;"Hochschullehrender";37
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";10;"Ball, Dipl.Päd.Christina Theresia";1970;"Lehrerin";31
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";11;"Schein, Rosemarie";1961;"Landwirtin";46
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";12;"Dieringer-Granza, Mag. Elisabeth";1974;"AHS-Lehrerin";45
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";13;"Pirolt, Franz";1961;"Landwirt";44
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";14;"Rauter, Dietmar";1973;"Geschäftsführer";133
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";15;"Linder, MARoman";1990;"Jungbauer";52
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";16;"Krenn, Matthias";1960;"Hotelier";38
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";17;"Hartlieb, Franz";1960;"Polizist";39
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";18;"Faller, Claus";1966;"Beamter";29
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";19;"Burger, Günter Georg";1961;"Unternehmer";13
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";20;"Mischelin, Ernst Manfred";1960;"Chemiewerker";18
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";21;"Stangl, Mag.  Dr. Regine";1963;"BHS-Lehrerin";5
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";22;"Richler, Thomas";1948;"Pensionist";21
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";23;"Gassler, Prof. Dipl.-Ing. Bernhard";1961;"BHS-Professor";131
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 3, Freiheitliche Partei Österreichs (FPÖ)";24;"Haider, Dipl.-Rev.Renate";1954;"Unternehmerin";5
